s_value,l_value,continent_index,sub,continent_code,continent_label,subs,h_base,h_span,color_continent,h_base_area,color_area,color_hex,color_code,area_code,hue
0.8,0.5,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#e51919,1,1,0.0
0.8,0.5,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#e53119,1,2,0.02
0.8,0.5,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#e54a19,1,3,0.04
0.8,0.5,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#e56219,1,4,0.06
0.8,0.5,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#e57b19,1,5,0.08
0.8,0.4,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#b71414,2,1,0.0
0.8,0.4,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#b72714,2,2,0.02
0.8,0.4,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#b73b14,2,3,0.04
0.8,0.4,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#b74f14,2,4,0.06
0.8,0.4,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#b76214,2,5,0.08
0.8,0.6,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#ea4747,3,1,0.0
0.8,0.6,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#ea5a47,3,2,0.02
0.8,0.6,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#ea6e47,3,3,0.04
0.8,0.6,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#ea8247,3,4,0.06
0.8,0.6,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#ea9547,3,5,0.08
0.8,0.3,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#890f0f,4,1,0.0
0.8,0.3,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#891d0f,4,2,0.02
0.8,0.3,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#892c0f,4,3,0.04
0.8,0.3,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#893b0f,4,4,0.06
0.8,0.3,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#894a0f,4,5,0.08
0.8,0.7,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#ef7575,5,1,0.0
0.8,0.7,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#ef8375,5,2,0.02
0.8,0.7,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#ef9275,5,3,0.04
0.8,0.7,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#efa175,5,4,0.06
0.8,0.7,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#efb075,5,5,0.08
0.6,0.5,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#cc3232,6,1,0.0
0.6,0.5,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#cc4532,6,2,0.02
0.6,0.5,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#cc5732,6,3,0.04
0.6,0.5,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#cc6a32,6,4,0.06
0.6,0.5,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#cc7c32,6,5,0.08
0.6,0.4,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#a32828,7,1,0.0
0.6,0.4,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#a33728,7,2,0.02
0.6,0.4,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#a34628,7,3,0.04
0.6,0.4,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#a35428,7,4,0.06
0.6,0.4,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#a36328,7,5,0.08
0.6,0.6,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#d65b5b,8,1,0.0
0.6,0.6,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#d66a5b,8,2,0.02
0.6,0.6,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#d6795b,8,3,0.04
0.6,0.6,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#d6875b,8,4,0.06
0.6,0.6,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#d6965b,8,5,0.08
0.6,0.3,0,0,1,Africa,5,0.0,0.02,#e51919,0.0,#e51919,#7a1e1e,9,1,0.0
0.6,0.3,0,1,1,Africa,5,0.0,0.02,#e51919,0.02,#e53119,#7a291e,9,2,0.02
0.6,0.3,0,2,1,Africa,5,0.0,0.02,#e51919,0.04,#e54a19,#7a341e,9,3,0.04
0.6,0.3,0,3,1,Africa,5,0.0,0.02,#e51919,0.06,#e56219,#7a3f1e,9,4,0.06
0.6,0.3,0,4,1,Africa,5,0.0,0.02,#e51919,0.08,#e57b19,#7a4a1e,9,5,0.08
